Price,Area,Elevator,Year,Rooms,Floor,Region,Name
567000.0,52.5,0,,4,3 piętro,Rury,4-pokojowe LSM bez prowizji
728500.0,77.5,1,2025,4,3 piętro,Czechów Północny,Idealne mieszkanie 4 Pokoje ! 2 balkony ! Okazja
668360.0,68.2,1,2026,4,2 piętro,Wrotków,Active City etap V  | mieszkanie 4-pok. | D1_2_17
833414.0,76.46,1,2023,4,1 piętro,Czechów Południowy,"Mieszkanie, rynek pierwotny, KONCERTOWA 42"
696500.0,79.6,1,2025,4,,Kośminek,4 pokoje na nowym osiedlu blisko Centrum.
538000.0,41.44,1,2015,2,10+ piętro,Rury,2 pokoje z widokiem na Lublin w Metropolitan Park!
376900.0,44.2,1,1980,3,1 piętro,Wieniawa,Wieniawa - Popiełuszki 35 Idealne pod wynajem !
498999.0,39.26,1,1982,2,10 piętro,Rury,Gliniana 25 ! Okazja - Bez Prowizji ! Umcs Kul Up
659000.0,60.21,0,2008,4,3 piętro,Ponikwoda,Bez Prowizji! Z Tarasem 17m2 ! Po Remoncie !
393450.0,30.5,1,2024,2,3 piętro,Śródmieście,Niesamowite mieszkanie dostępne na 10.2024 Rok !
620000.0,49.86,1,2018,3,2 piętro,Bronowice,Bez Prowizji ! - Wysoki Standard ! Okazja !
515700.0,51.57,1,2024,3,1 piętro,Czechów Południowy,Oststnie Wolne Na Styczeń 2024 Rok ! Okazja !
520000.0,44.8,0,2003,2,4 piętro,Wrotków,"Duże mieszkanie - niskie koszty, piwnica, parking"
405950.0,35.3,1,2024,2,4 piętro,Węglin Południowy,"Lublin, Węglinek, ul. Koralowa 31"
645000.0,49.91,1,2021,3,3 piętro,Wrotków,"3-Pokojowe Mieszkanie, Ul. Wolińskiego, Wrotków"
458900.0,48.55,0,1976,3,3 piętro,Dziesiąta,"3 pokojowe mieszkanie 48,55m2 BEZ POŚREDNIKÓW"
769000.0,72.07,1,2015,4,1 piętro,Węglin Południowy,Komfortowe 4 Pokoje Przy  Ul. Gęsiej.
669000.0,55.06,0,2015,3,2 piętro,Wrotków,"Trzy Pokoje, Dwa Balkony, Piwnica, Klimatyzacja"
369000.0,35.0,0,,2,parter,Tatary,"BEZPOŚREDNIO Dwa pokoje PO REMONCIE, 200m od WSEi"
510000.0,61.0,0,1963,3,,Rury,"Mieszkanie 61 m2, LSM, sprzedaż."
562800.0,46.9,1,2017,2,2 piętro,Felin,Mieszkanie Zygmunta Augusta Osiedle Europejskie
499900.0,46.57,0,,3,1 piętro,Bronowice,Atrakcyjne Mieszkanie Blisko Centrum Lublina
425000.0,50.9,1,1969,3,6 piętro,Kalinowszczyzna,3-pokojowe mieszkanie na sprzedaż - ul. Okrzei 10
624730.0,57.34,1,,3,2 piętro,Czechów Północny,Osiedle Koncertowa Dolina | mieszkanie 3-pok. | 50
820000.0,85.82,0,2000,3,3 piętro,Sławin,"Mieszkanie 3 pok. + Parking, Cena do negocjacji"
615000.0,58.0,1,1978,3,5 piętro,Czechów Południowy,3-pokoje na Czechowie - gotowe do zamieszkania
395000.0,35.9,1,1976,2,2 piętro,Czuby Północne,"Tylko u nas, 2 Pokoje Czuby"
689980.0,52.0,0,2026,3,4 piętro,Ponikwoda,"Mieszkanie, 52 m², Lublin"
563506.0,41.0,0,2026,2,1 piętro,Ponikwoda,"Mieszkanie, 41 m², Lublin"
520000.0,47.9,0,1975,3,parter,Rury,"Mieszkanie, 47,90 m², Lublin"
813625.0,65.09,1,2024,3,2 piętro,Kośminek,"Na sprzedaż – mieszkanie 3-pokojowe, ul. Kręta 5"
649000.0,72.5,0,1983,3,2 piętro,Rury,"Przestrzenne 72,5m2 mieszkanie na LSM"
