"Price","Name","Rooms","Area","Floor","Region","Year","Elevator"
"567 000 zł","4-pokojowe LSM bez prowizji","4 pokoje","52.5 m²","3 piętro","Rury","brak informacji","nie"
"728 500 zł","Idealne mieszkanie 4 Pokoje ! 2 balkony ! Okazja","4 pokoje","77.5 m²","3 piętro","Czechów Północny","2025","tak"
"668 360 zł","Active City etap V  | mieszkanie 4-pok. | D1_2_17","4 pokoje","68.2 m²","2 piętro","Wrotków","2026","tak"
"833 414 zł","Mieszkanie, rynek pierwotny, KONCERTOWA 42","4 pokoje","76.46 m²","1 piętro","Czechów Południowy","2023","tak"
"696 500 zł","4 pokoje na nowym osiedlu blisko Centrum.","4 pokoje","79.6 m²","","Kośminek","2025","tak"
"538 000 zł","2 pokoje z widokiem na Lublin w Metropolitan Park!","2 pokoje","41.44 m²","10+ piętro","Rury","2015","tak"
"376 900 zł","Wieniawa - Popiełuszki 35 Idealne pod wynajem !","3 pokoje","44.2 m²","1 piętro","Wieniawa","1980","tak"
"498 999 zł","Gliniana 25 ! Okazja - Bez Prowizji ! Umcs Kul Up","2 pokoje","39.26 m²","10 piętro","Rury","1982","tak"
"659 000 zł","Bez Prowizji! Z Tarasem 17m2 ! Po Remoncie !","4 pokoje","60.21 m²","3 piętro","Ponikwoda","2008","nie"
"393 450 zł","Niesamowite mieszkanie dostępne na 10.2024 Rok !","2 pokoje","30.5 m²","3 piętro","Śródmieście","2024","tak"
"620 000 zł","Bez Prowizji ! - Wysoki Standard ! Okazja !","3 pokoje","49.86 m²","2 piętro","Bronowice","2018","tak"
"515 700 zł","Oststnie Wolne Na Styczeń 2024 Rok ! Okazja !","3 pokoje","51.57 m²","1 piętro","Czechów Południowy","2024","tak"
"520 000 zł","Duże mieszkanie - niskie koszty, piwnica, parking","2 pokoje","44.8 m²","4 piętro","Wrotków","2003","nie"
"405 950 zł","Lublin, Węglinek, ul. Koralowa 31","2 pokoje","35.3 m²","4 piętro","Węglin Południowy","2024","tak"
"645 000 zł","3-Pokojowe Mieszkanie, Ul. Wolińskiego, Wrotków","3 pokoje","49.91 m²","3 piętro","Wrotków","2021","tak"
"458 900 zł","3 pokojowe mieszkanie 48,55m2 BEZ POŚREDNIKÓW","3 pokoje","48.55 m²","3 piętro","Dziesiąta","1976","nie"
"769 000 zł","Komfortowe 4 Pokoje Przy  Ul. Gęsiej.","4 pokoje","72.07 m²","1 piętro","Węglin Południowy","2015","tak"
"669 000 zł","Trzy Pokoje, Dwa Balkony, Piwnica, Klimatyzacja","3 pokoje","55.06 m²","2 piętro","Wrotków","2015","nie"
"369 000 zł","BEZPOŚREDNIO Dwa pokoje PO REMONCIE, 200m od WSEi","2 pokoje","35 m²","parter","Tatary","brak informacji","nie"
"510 000 zł","Mieszkanie 61 m2, LSM, sprzedaż.","3 pokoje","61 m²","","Rury","1963","nie"
