Price,Area,Elevator,Year,Rooms,Floor,Region
567000.0,52.5,0.0,2017,4.0,3 piętro,Rury
728500.0,77.5,1.0,2025,4.0,3 piętro,Czechów Północny
668360.0,68.19999694824219,1.0,2026,4.0,2 piętro,Wrotków
833414.0,76.45999908447266,1.0,2023,4.0,1 piętro,Czechów Południowy
696500.0,79.5999984741211,1.0,2025,4.0,3 piętro,Kośminek
538000.0,41.439998626708984,1.0,2015,2.0,10+ piętro,Rury
376900.0,44.20000076293945,1.0,1980,3.0,1 piętro,Wieniawa
498999.0,39.2599983215332,1.0,1982,2.0,10 piętro,Rury
659000.0,60.209999084472656,0.0,2008,4.0,3 piętro,Ponikwoda
393450.0,30.5,1.0,2024,2.0,3 piętro,Śródmieście
620000.0,49.86000061035156,1.0,2018,3.0,2 piętro,Bronowice
515700.0,51.56999969482422,1.0,2024,3.0,1 piętro,Czechów Południowy
520000.0,44.79999923706055,0.0,2003,2.0,4 piętro,Wrotków
405950.0,35.29999923706055,1.0,2024,2.0,4 piętro,Węglin Południowy
645000.0,49.90999984741211,1.0,2021,3.0,3 piętro,Wrotków
458900.0,48.54999923706055,0.0,1976,3.0,3 piętro,Dziesiąta
769000.0,72.06999969482422,1.0,2015,4.0,1 piętro,Węglin Południowy
669000.0,55.060001373291016,0.0,2015,3.0,2 piętro,Wrotków
369000.0,35.0,0.0,1981,2.0,parter,Tatary
510000.0,61.0,0.0,1963,3.0,3 piętro,Rury
562800.0,46.900001525878906,1.0,2017,2.0,2 piętro,Felin
499900.0,46.56999969482422,0.0,1981,3.0,1 piętro,Bronowice
425000.0,50.900001525878906,1.0,1969,3.0,6 piętro,Kalinowszczyzna
624730.0,57.34000015258789,1.0,2009,3.0,2 piętro,Czechów Północny
820000.0,85.81999969482422,0.0,2000,3.0,3 piętro,Sławin
615000.0,58.0,1.0,1978,3.0,5 piętro,Czechów Południowy
395000.0,35.900001525878906,1.0,1976,2.0,2 piętro,Czuby Północne
689980.0,52.0,0.0,2026,3.0,4 piętro,Ponikwoda
563506.0,41.0,0.0,2026,2.0,1 piętro,Ponikwoda
520000.0,47.900001525878906,0.0,1975,3.0,parter,Rury
813625.0,65.08999633789062,1.0,2024,3.0,2 piętro,Kośminek
649000.0,72.5,0.0,1983,3.0,2 piętro,Rury
439000.0,40.0,1.0,2024,2.0,5 piętro,Wrotków
549000.0,60.5,0.0,1993,3.0,3 piętro,Bronowice
390000.0,47.04999923706055,0.0,1990,3.0,3 piętro,Kalinowszczyzna
305000.0,37.060001373291016,1.0,1974,2.0,9 piętro,Kośminek
833414.0,76.45999908447266,1.0,2023,4.0,1 piętro,Czechów Południowy
498999.0,39.2599983215332,1.0,1982,2.0,10 piętro,Rury
620000.0,49.86000061035156,1.0,2018,3.0,2 piętro,Bronowice
365000.0,47.11000061035156,0.0,1963,2.0,2 piętro,Dziesiąta
665000.0,83.88999938964844,0.0,1995,4.0,1 piętro,Czechów Południowy
379000.0,38.0,1.0,1980,2.0,6 piętro,Kalinowszczyzna
598000.0,52.0099983215332,1.0,2018,2.0,2 piętro,Wrotków
569000.0,58.0,0.0,1994,4.0,parter,Kalinowszczyzna
509000.0,50.900001525878906,1.0,2026,3.0,2 piętro,Wrotków
670000.0,41.25,1.0,2024,2.0,2 piętro,Śródmieście
465582.0,49.529998779296875,1.0,2025,2.0,1 piętro,Kośminek
493250.0,39.459999084472656,0.0,2026,2.0,parter,Sławin
905688.0,83.86000061035156,0.0,2026,2.0,3 piętro,Sławin
530875.0,42.470001220703125,0.0,2026,2.0,2 piętro,Sławin
666848.0,59.540000915527344,1.0,2025,3.0,7 piętro,Konstantynów
527710.0,48.18000030517578,1.0,2020,2.0,parter,Czechów Północny
427246.0,25.729999542236328,1.0,2008,1.0,1 piętro,Wieniawa
547521.8125,49.81999969482422,1.0,2024,3.0,5 piętro,Wrotków
863200.0,66.91999816894531,1.0,2024,3.0,parter,Czechów Południowy
529000.0,48.0,1.0,1984,3.0,9 piętro,Kalinowszczyzna
537000.0,57.0,0.0,1994,3.0,4 piętro,Czuby Północne
549720.0,61.08000183105469,0.0,2003,3.0,3 piętro,Dziesiąta
385000.0,62.0,0.0,1897,2.0,2 piętro,Dziesiąta
